# time	normed_dsignal
-2.500315102403084721e-06 5.897647370990833325e-03
-2.498315102459648584e-06 5.756930176696962130e-03
-2.496315102516212447e-06 5.617219590352801918e-03
-2.494315102572776309e-06 5.478516430935144454e-03
-2.492315102629340172e-06 5.340821517420787576e-03
-2.490315102685904035e-06 5.204135668786523915e-03
-2.488315102742467898e-06 5.068459704009150441e-03
-2.486315102799031761e-06 4.933794442065460653e-03
-2.484315102855595624e-06 4.800140701932249787e-03
-2.482315102912159487e-06 4.667499302586312210e-03
-2.480315102968723350e-06 4.535871063004443156e-03
-2.478315103025287213e-06 4.405256802163437860e-03
-2.476315103081851076e-06 4.275657339040091556e-03
-2.474315103138414939e-06 4.147073492611197745e-03
-2.472315103194978802e-06 4.019506081853550794e-03
-2.470315103251542665e-06 3.892955925743947672e-03
-2.468315103308106528e-06 3.767423843259182312e-03
-2.466315103364670390e-06 3.642910653376049517e-03
-2.464315103421234253e-06 3.519417175071342350e-03
-2.462315103477798116e-06 3.396944227321858651e-03
-2.460315103534361979e-06 3.275492629104391918e-03
-2.458315103590925842e-06 3.155063199395736519e-03
-2.456315103647489705e-06 3.035656757172688555e-03
-2.454315103704053568e-06 2.917274121412041094e-03
-2.452315103760617431e-06 2.799916111090590236e-03
-2.450315103817181294e-06 2.683583545185131217e-03
-2.448315103873745157e-06 2.568277242672457102e-03
-2.446315103930309020e-06 2.453998022529364428e-03
-2.444315103986872883e-06 2.340746703732647562e-03
-2.442315104043436746e-06 2.228524105259101305e-03
-2.440315104100000609e-06 2.117331046085520457e-03
-2.438315104156564471e-06 2.007168345188699386e-03
-2.436315104213128334e-06 1.898036821545433760e-03
-2.434315104269692197e-06 1.789937294132517729e-03
-2.432315104326256060e-06 1.682870581926746312e-03
-2.430315104382819923e-06 1.576837503904915177e-03
-2.428315104439383786e-06 1.471838879043817824e-03
-2.426315104495947649e-06 1.367875526320250137e-03
-2.424315104552511512e-06 1.264948264711006918e-03
-2.422315104609075375e-06 1.163057913192882100e-03
-2.420315104665639238e-06 1.062205290742670701e-03
-2.418315104722203101e-06 9.623912163371683894e-04
-2.416315104778766964e-06 8.636165089531695326e-04
-2.414315104835330827e-06 7.658819875674694735e-04
-2.412315104891894689e-06 6.691884711568622541e-04
-2.410315104948458552e-06 5.735367786981420248e-04
-2.408315105005022415e-06 4.789277291681051586e-04
-2.406315105061586278e-06 3.853621415435464566e-04
-2.404315105118150141e-06 2.928408348012608280e-04
-2.402315105174714004e-06 2.013646279180413934e-04
-2.400315105231277867e-06 1.109343398706846612e-04
-2.398315105287841730e-06 2.155078963598544255e-05
-2.396315105344405593e-06 -6.678520380926223742e-05
-2.394315105400969456e-06 -1.540728214882635338e-04
-2.392315105457533319e-06 -2.403112444242220971e-04
-2.390315105514097182e-06 -3.254996536403461488e-04
-2.388315105570661045e-06 -4.096372301598370119e-04
-2.386315105627224908e-06 -4.927231550059028940e-04
-2.384315105683788770e-06 -5.747566092017475847e-04
-2.382315105740352633e-06 -6.557367737705768794e-04
-2.380315105796916496e-06 -7.356628297355951099e-04
-2.378315105853480359e-06 -8.145339581200076919e-04
-2.376315105910044222e-06 -8.923493399470196078e-04
-2.374315105966608085e-06 -9.691081562398367070e-04
-2.372315106023171948e-06 -1.044809588021663755e-03
-2.370315106079735811e-06 -1.119452816315706168e-03
-2.368315106136299674e-06 -1.193037022145169686e-03
-2.366315106192863537e-06 -1.265561386533256907e-03
-2.364315106249427400e-06 -1.337025090503175199e-03
-2.362315106305991263e-06 -1.407427315078131277e-03
-2.360315106362555126e-06 -1.476767241281325789e-03
-2.358315106419118989e-06 -1.545044050135967184e-03
-2.356315106475682851e-06 -1.612256922665261747e-03
-2.354315106532246714e-06 -1.678405039892410557e-03
-2.352315106588810577e-06 -1.743487582840621197e-03
-2.350315106645374440e-06 -1.807503732533097783e-03
-2.348315106701938303e-06 -1.870452669993048767e-03
-2.346315106758502166e-06 -1.932333576243673925e-03
-2.344315106815066029e-06 -1.993145632308183663e-03
-2.342315106871629892e-06 -2.052888019209780143e-03
-2.340315106928193755e-06 -2.111559917971668129e-03
-2.338315106984757618e-06 -2.169160509617054124e-03
-2.336315107041321481e-06 -2.225688975169142457e-03
-2.334315107097885344e-06 -2.281144495651140931e-03
-2.332315107154449207e-06 -2.335526252086250407e-03
-2.330315107211013069e-06 -2.388833425497680421e-03
-2.328315107267576932e-06 -2.441065196908631402e-03
-2.326315107324140795e-06 -2.492220747342313754e-03
-2.324315107380704658e-06 -2.542299257821927037e-03
-2.322315107437268521e-06 -2.591299909370680787e-03
-2.320315107493832384e-06 -2.639221883011778902e-03
-2.318315107550396247e-06 -2.686064359768425714e-03
-2.316315107606960110e-06 -2.731826520663826422e-03
-2.314315107663523973e-06 -2.776507546721187093e-03
-2.312315107720087836e-06 -2.820106618963712057e-03
-2.310315107776651699e-06 -2.862622918414609117e-03
-2.308315107833215562e-06 -2.904055626097079134e-03
-2.306315107889779425e-06 -2.944403923034330777e-03
-2.304315107946343288e-06 -2.983666990249565342e-03
-2.302315108002907150e-06 -3.021844008765992365e-03
-2.300315108059471013e-06 -3.058934159606815310e-03
-2.298315108116034876e-06 -3.094936623795237641e-03
-2.296315108172598739e-06 -3.129850582354465859e-03
-2.294315108229162602e-06 -3.163675216307707764e-03
-2.292315108285726465e-06 -3.196409706678164219e-03
-2.290315108342290328e-06 -3.228053234489040857e-03
-2.288315108398854191e-06 -3.258604980763546780e-03
-2.286315108455418054e-06 -3.288064126524883283e-03
-2.284315108511981917e-06 -3.316429852796256867e-03
-2.282315108568545780e-06 -3.343701340600872297e-03
-2.280315108625109643e-06 -3.369877770961934773e-03
-2.278315108681673506e-06 -3.394958324902648625e-03
-2.276315108738237369e-06 -3.418942183446223391e-03
-2.274315108794801231e-06 -3.441828527615858196e-03
-2.272315108851365094e-06 -3.463616538434760844e-03
-2.270315108907928957e-06 -3.484305396926137832e-03
-2.268315108964492820e-06 -3.503894284113192627e-03
-2.266315109021056683e-06 -3.522382381019131727e-03
-2.264315109077620546e-06 -3.539768868667157731e-03
-2.262315109134184409e-06 -3.556052928080479739e-03
-2.260315109190748272e-06 -3.571233740282299049e-03
-2.258315109247312135e-06 -3.585310486295821292e-03
-2.256315109303875998e-06 -3.598282347144252970e-03
-2.254315109360439861e-06 -3.610148503850798413e-03
-2.252315109417003724e-06 -3.620908137438666290e-03
-2.250315109473567587e-06 -3.630560428931054861e-03
-2.248315109530131449e-06 -3.639104559351177999e-03
-2.246315109586695312e-06 -3.646539709722233097e-03
-2.244315109643259175e-06 -3.652865061067428823e-03
-2.242315109699823038e-06 -3.658079794409969943e-03
-2.240315109756386901e-06 -3.662183090773061655e-03
-2.238315109812950764e-06 -3.665174131179908291e-03
-2.236315109869514627e-06 -3.667052096653714184e-03
-2.234315109926078490e-06 -3.667816168217688435e-03
-2.232315109982642353e-06 -3.667465526895033207e-03
-2.230315110039206216e-06 -3.665999353708955001e-03
-2.228315110095770079e-06 -3.663416829682655980e-03
-2.226315110152333942e-06 -3.659717135839346113e-03
-2.224315110208897805e-06 -3.654899453202224962e-03
-2.222315110265461668e-06 -3.648962962794503797e-03
-2.220315110322025530e-06 -3.641906845639383047e-03
-2.218315110378589393e-06 -3.633730282760068778e-03
-2.216315110435153256e-06 -3.624432455179768791e-03
-2.214315110491717119e-06 -3.614012543921684383e-03
-2.212315110548280982e-06 -3.602469730009022920e-03
-2.210315110604844845e-06 -3.589803194464988734e-03
-2.208315110661408708e-06 -3.576012118312789628e-03
-2.206315110717972571e-06 -3.561095682575627763e-03
-2.204315110774536434e-06 -3.545053068276707905e-03
-2.202315110831100297e-06 -3.527883456439236988e-03
-2.200315110887664160e-06 -3.509586028092212453e-03
-2.198315110944228023e-06 -3.575556351136180162e-03
-2.196315111000791886e-06 -3.325246531091439074e-03
-2.194315111057355749e-06 -3.062482771271470353e-03
-2.192315111113919611e-06 -2.768427850149060045e-03
-2.190315111170483474e-06 -2.923950946999491658e-03
-2.188315111227047337e-06 -2.645439447586214483e-03
-2.186315111283611200e-06 -2.477783938022279971e-03
-2.184315111340175063e-06 -1.982936443501068582e-03
-2.182315111396738926e-06 -1.873949871775306862e-03
-2.180315111453302789e-06 -1.756490178611595874e-03
-2.178315111509866652e-06 -1.761620117225348768e-03
-2.176315111566430515e-06 -1.272745060981471865e-03
-2.174315111622994378e-06 -1.189158666277684122e-03
-2.172315111679558241e-06 -9.379518914682589319e-04
-2.170315111736122104e-06 -8.915432252804304444e-04
-2.168315111792685967e-06 -8.418631632843544483e-04
-2.166315111849249829e-06 -6.471357674730031893e-04
-2.164315111905813692e-06 -2.395101443280387126e-04
-2.162315111962377555e-06 -1.964000337888326293e-04
-2.160315112018941418e-06 2.942098132709578223e-05
-2.158315112075505281e-06 -2.774611429747626768e-04
-2.156315112132069144e-06 -4.484357015175502253e-04
-2.154315112188633007e-06 -4.164882387194256976e-04
-2.152315112245196870e-06 -3.732084827756328746e-04
-2.150315112301760733e-06 -8.968608429415775166e-04
-2.148315112358324596e-06 -1.040664345894193451e-03
-2.146315112414888459e-06 -1.744690872511016474e-03
-2.144315112471452322e-06 -1.973284993435683605e-03
-2.142315112528016185e-06 -2.300172407188722044e-03
-2.140315112584580048e-06 -2.400477321094658060e-03
-2.138315112641143910e-06 -2.682748849544470786e-03
-2.136315112697707773e-06 -2.769998028707245860e-03
-2.134315112754271636e-06 -2.932059037456449281e-03
-2.132315112810835499e-06 -2.590718219155447363e-03
-2.130315112867399362e-06 -2.293921496022087968e-03
-2.128315112923963225e-06 -2.093721786512400991e-03
-2.126315112980527088e-06 -1.975120713586304543e-03
-2.124315113037090951e-06 -1.704378475431706473e-03
-2.122315113093654814e-06 -9.867543942505571739e-04
-2.120315113150218677e-06 -3.198687245664199458e-04
-2.118315113206782540e-06 1.259022585227574295e-04
-2.116315113263346403e-06 3.272536766102316611e-04
-2.114315113319910266e-06 4.282697455276742653e-04
-2.112315113376474129e-06 8.857558412589403365e-04
-2.110315113433037991e-06 1.191657277010553647e-03
-2.108315113489601854e-06 1.462900041703911642e-03
-2.106315113546165717e-06 1.840540568310677916e-03
-2.104315113602729580e-06 1.841419796668964260e-03
-2.102315113659293443e-06 1.576290034455183871e-03
-2.100315113715857306e-06 1.766648964803509874e-03
-2.098315113772421169e-06 1.707004578308415942e-03
-2.096315113828985032e-06 1.692814880867925861e-03
-2.094315113885548895e-06 1.243124615160127230e-03
-2.092315113942112758e-06 9.399056691470650086e-04
-2.090315113998676621e-06 7.635251873380044085e-04
-2.088315114055240484e-06 1.127036982417563629e-03
-2.086315114111804347e-06 7.835549965234610802e-04
-2.084315114168368209e-06 1.043188883456824204e-03
-2.082315114224932072e-06 9.908536724539153406e-04
-2.080315114281495935e-06 1.313247131828743043e-03
-2.078315114338059798e-06 1.591968646281827346e-03
-2.076315114394623661e-06 1.755403424584689887e-03
-2.074315114451187524e-06 2.102855640267731023e-03
-2.072315114507751387e-06 2.169946040908553742e-03
-2.070315114564315250e-06 1.976221995263187196e-03
-2.068315114620879113e-06 2.101407425394172159e-03
-2.066315114677442976e-06 2.270363335937310590e-03
-2.064315114734006839e-06 2.501137051978064713e-03
-2.062315114790570702e-06 2.357283602878617202e-03
-2.060315114847134565e-06 2.740440969963891561e-03
-2.058315114903698428e-06 3.054393920194791757e-03
-2.056315114960262290e-06 3.459770045984921633e-03
-2.054315115016826153e-06 3.768878645188526114e-03
-2.052315115073390016e-06 3.681729258869352508e-03
-2.050315115129953879e-06 3.588781761345824581e-03
