# one_x_offsets	two_x_offsets	one_amplitudes	two_amplitudes
2.470148604287494833e-08 1.951291031389486640e-07 1.067936435608348500e+00 1.127943797100714018e+00
2.698050363449518429e-08 1.208084839530927590e-07 1.077059394021444572e+00 1.111758538629620041e+00
1.969405842962448924e-07 2.446760120997915296e-08 7.762120074850201723e-01 1.190883666128590423e+00
2.121534939560102378e-06 1.932464609622995960e-08 7.000795424111171394e-01 1.299546013146335000e+00
-7.273809548859764604e-09 -9.676512414153445391e-09 9.030617312157005472e-01 9.827349110389895781e-01
6.204861420963720145e-09 1.681310945302678527e-08 7.154218505189881006e-01 1.129146364401029112e+00
1.489446891753986575e-07 -1.183766991034993787e-09 8.400901552058486210e-01 1.018441728325228279e+00
4.805097515335441669e-09 1.733568295713222905e-07 8.228649377045087476e-01 8.589962322472783907e-01
1.964961193839738485e-07 1.711454830434714448e-07 9.128132038538437909e-01 1.190710616534868871e+00
1.694345428998828941e-07 4.716332944779812974e-09 8.540576320758933582e-01 1.220579523091893215e+00
1.229315881670011048e-08 -6.403038505662619757e-09 7.322077036752856483e-01 1.126639606258486914e+00
-1.848647666745195067e-08 1.691676557892789742e-07 8.523556141768693362e-01 9.601505464850639271e-01
-2.141445503129317745e-08 7.657833967419454898e-09 1.203102323789925432e+00 9.352662966244433829e-01
-2.551210300427666951e-08 -2.978508641463786036e-08 9.164047897482791027e-01 1.198575128454605343e+00
2.640623436926732885e-08 -2.993004866797683877e-08 1.293993876319808223e+00 7.019061177527706752e-01
-2.195774908161360627e-09 1.658730789461020109e-07 9.968531445968296101e-01 8.595303194026434612e-01
1.479468326124534035e-08 1.980465053831747867e-07 1.003719808567566707e+00 8.865894320716771748e-01
4.148376275353752300e-08 2.364937888137574894e-06 1.008313841837483515e+00 7.046581392843894731e-01
1.474512504403474632e-07 -6.125345278171565659e-10 1.158226310473188247e+00 7.794161000450270382e-01
1.799986728170217732e-07 1.343844465600859820e-08 1.135907016410789616e+00 7.000000007969300331e-01
2.044398691008472109e-07 2.150013645423650736e-07 1.069380391735809788e+00 7.010726697893318038e-01
2.121347864935816407e-07 -1.630346804860159322e-08 7.009565232752587027e-01 1.248561914216500979e+00
-9.640146770797145616e-09 -8.728387994047074025e-09 1.288457280846645681e+00 7.082807426084613001e-01
1.745961767892125860e-07 1.873284430951484953e-07 7.000084971884733553e-01 1.123505049024281055e+00
1.701730322488875636e-07 1.667428812106353364e-09 8.991770556786067292e-01 9.772665560206005297e-01
1.928041222694404159e-07 1.928467715657338839e-07 9.630896536899625771e-01 7.006129092888362386e-01
-2.181304196367616500e-08 1.718647718030048766e-08 7.000008422746665238e-01 1.080988419015906032e+00
9.515941155870600974e-09 1.472698404102723689e-07 9.963466349559345625e-01 8.954199282663725112e-01
1.848964367982790908e-07 1.983212841016068074e-07 7.217451481613059716e-01 1.232232651073580598e+00
-1.619388652535961505e-08 -1.939445997008555831e-08 1.069171592319833719e+00 7.000770584004182284e-01
-8.366037519275857458e-10 -1.130901740845983534e-08 1.269070635089160515e+00 7.439506938231716937e-01
1.922256459339685704e-07 -3.736790468339203001e-09 8.325380751740385499e-01 1.071580058056159857e+00
-1.606911393689641247e-08 -1.533605322566900216e-08 1.288412273940733765e+00 7.359053005146535265e-01
2.134007566634095794e-07 6.763398318570539582e-08 1.059026990228347564e+00 7.000000231353876723e-01
5.697757896810275475e-08 2.071893835623321588e-06 1.086250011510499380e+00 7.020664507660517861e-01
