# one_x_offsets_init	two_x_offsets_init	one_amplitudes_init	two_amplitudes_init
6.699796296429009704e-08 1.748321653309372314e-07 7.159709700734446791e-01 1.300000000000000044e+00
5.498975408636822970e-08 1.046849629609083828e-07 1.004190294293677121e+00 1.300000000000000044e+00
2.069156383830948522e-07 2.652069235592015158e-08 7.372517873575844538e-01 1.300000000000000044e+00
2.124607218497862763e-06 3.566659028178977543e-08 8.316386579908989773e-01 1.300000000000000044e+00
4.662282553499783531e-08 7.029489214557983103e-08 1.300000000000000044e+00 7.095267749284436265e-01
2.491839163625802380e-08 4.540024853156993474e-08 1.273688259186550376e+00 7.381783209262730017e-01
1.363287167573309718e-07 6.269201901882745718e-08 7.439015099566695932e-01 1.259305645148355302e+00
6.263329288950986569e-08 1.469190066487126388e-07 9.468518473946063718e-01 8.307490840221405382e-01
2.644159709534418588e-07 2.430661758879235823e-07 7.236463565836208645e-01 1.300000000000000044e+00
1.621970469283898675e-07 4.068646307646717303e-08 8.079384883617528601e-01 1.300000000000000044e+00
2.677979904891899592e-08 2.634839149563001093e-08 1.180134328264774046e+00 8.272450233925744412e-01
5.868374052178017136e-08 1.866879028456240394e-07 1.252030821534027671e+00 7.128481833632428488e-01
5.863592162084810589e-08 9.420887088637873772e-08 1.300000000000000044e+00 7.340604903273081350e-01
-1.834785201797980531e-08 -3.744067862677719070e-08 9.330343027432422831e-01 1.300000000000000044e+00
4.780503041359388620e-08 -8.976032667403953964e-08 1.300000000000000044e+00 7.598786773602689282e-01
-4.874220312830574091e-09 1.715489364696205324e-07 1.074528788814744118e+00 9.131969219188645903e-01
4.356210585108735016e-08 2.238418822293233400e-07 1.299144664449716213e+00 7.339749063862585077e-01
4.148407058170906013e-08 2.364937931529520171e-06 1.300000000000000044e+00 7.046614253107541526e-01
1.742035795355441488e-07 1.638576760115497970e-08 9.749154568406874777e-01 1.127301500603091089e+00
2.189067480912557846e-07 3.153696303889991321e-08 9.337743641384140814e-01 1.065747426096163242e+00
2.267016179151237829e-07 2.469403203699574777e-07 8.979289696971423096e-01 1.026692785771844418e+00
2.314448331553773104e-07 2.088977523752267771e-08 7.168452267350408080e-01 1.300000000000000044e+00
4.681559827388319140e-08 3.965059651719058089e-08 8.150784280466230047e-01 1.268963059188599862e+00
1.724095417418014609e-07 1.895615591340668681e-07 8.440420151772380919e-01 1.139045459280630723e+00
1.250446847479765842e-07 4.488731751023640358e-08 7.097508820737257196e-01 1.233553667137472276e+00
2.510224074770792672e-07 2.470787812969940355e-07 9.184845604524826124e-01 8.070044202603355865e-01
-3.277946513210671068e-08 2.271830920117661278e-08 1.012426587042378978e+00 9.112493461616106849e-01
3.548317697937261130e-08 1.320378804565096996e-07 9.668091714260744762e-01 1.039581276322387726e+00
2.582071627568667757e-07 2.412276989437418860e-07 7.396871734947085830e-01 1.300000000000000044e+00
-7.380348434463787834e-09 -3.933789036578813022e-08 1.215435199108922282e+00 7.176284347389831897e-01
4.251344221238283116e-08 9.312471314715198949e-08 1.300000000000000044e+00 7.509159204536265397e-01
2.051055093576744084e-07 -1.079159168875050133e-09 9.365603272202844831e-01 1.140044686663393980e+00
